TERM_CODE_PARTNER_STUDENT_ID
G202209_B00669099
G202209_B00669993
G202209_B00671658
G202209_B00672723
G202210_B00665165
G202210_B00667541
G202210_B00669822
G202210_B00671102
G202210_B00671157
G202212_B00673130
G202212_B00671136
